title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NICS ATHENA] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BIGBEN] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[NCSA DTF] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)"
2010-05-06,95.998244900,83.190565540,71.875062716,79.287301519,83.263613905,51.752056512,51.470813142,23.773862390,24.719341092,0,30.806260834,0,3.771406250,37.702103475,4.789609911,2.477285156,7.434899902,2.793769124,0
2010-05-07,92.219990777,85.377909071,70.001552339,75.114678863,94.290968205,56.414953063,48.708895334,25.434557729,23.105407986,0,25.469907379,0,3.785550595,45.643310547,6.762865208,1.292535807,7.196968994,2.663215603,7.426721191
2010-05-08,77.087545573,78.759167289,59.171854705,72.629035417,92.676615438,38.884267715,56.572972959,26.436868876,19.703095161,0,35.612621104,0,0.021287202,38.911856283,5.606564345,1.039931641,5.514318848,2.606116808,15.162905273
2010-05-09,89.843212891,80.136763754,76.960938356,73.000986719,96.001911269,37.202563779,49.736481093,28.921220955,16.770941840,0,30.941370087,0,0.019508929,47.623661906,7.971273125,2.710504557,7.689336344,2.383778483,15.625000000
2010-05-10,88.032480469,77.161133970,83.734175978,67.619096398,91.743710222,34.055293865,48.332303011,29.087862425,15.691954481,0,29.893238169,0,3.628392857,52.041033529,11.523905119,4.371669922,6.615919596,2.303478733,10.876482747
2010-05-11,110.369507921,81.702481567,74.551783651,73.685472613,92.611294742,54.306390500,48.554603025,30.331592070,17.094033203,0,17.114031728,0,3.495989583,50.157873332,9.488223929,4.189091797,7.685768636,1.760193549,10.657082520
2010-05-12,112.076405165,81.717568452,82.249131335,71.372113194,92.707792853,66.975259247,40.139736515,32.261183394,17.518277181,0,25.436469167,0,3.431093750,37.039035441,7.784360238,7.715569661,6.645398763,2.189516466,14.602086589
2010-05-13,108.222137587,85.111277788,35.462822852,81.035148828,71.862764872,49.477773749,40.209494364,31.737955161,18.164160428,0,5.844355825,0,3.576056548,31.756347860,10.165517768,0.928964844,5.646092936,1.993598226,13.763544922
2010-05-14,112.487751194,84.194404482,0,78.633724045,0,47.168567474,47.487604737,31.263895635,18.836155056,0,3.028302205,0,0,44.424022217,8.372175685,5.107636719,3.893662516,1.920868191,9.183449707
2010-05-15,108.947115343,84.735185745,0,78.455585330,0,33.950153599,51.684295876,28.662040815,19.272245280,0,40.262758636,0,0,31.625135701,7.501359881,2.143518880,3.705248617,2.375968967,7.712709147
