Day,[SDSC TRESTLES] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC RANGER] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[NCSA FORGE] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%),[LONI QUEENBEE] XSEDE Utilization (%),[TACC SPUR] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[SDSC DASH] XSEDE Utilization (%)
2012-06-06,111.826569102,95.336502685,108.389565402,87.021814270,67.281294402,62.380719485,35.497659867,66.719734597,26.175863037,50.531449382,4.622181726,0,0,0,0
2012-06-07,121.317225851,88.464674952,117.423778377,86.273320211,86.199452212,67.215252251,61.188966291,84.135857565,21.297526449,63.551282959,11.569897946,0,6.678242188,0,0
2012-06-08,135.272159127,91.281688217,83.989679196,70.047186788,81.086020733,69.542760417,66.974359809,74.729337612,60.884304199,52.580584106,7.982969583,0,0.091725260,0,0
2012-06-09,132.450116889,96.573801079,87.612022523,53.674945068,63.089027784,70.481177270,47.413882378,56.594524079,38.338514404,20.100730591,8.405859018,0,0.148727214,0,0
2012-06-10,134.904222642,95.910714898,119.622475558,77.501284383,69.676607252,69.974098253,57.151304977,66.018458383,12.989502360,1.802065226,7.831160744,0,0,0,0
2012-06-11,111.047212749,96.481637111,85.563177065,77.463762919,76.691470296,69.957372970,51.910515770,64.172944450,51.489293213,37.467154338,4.027277679,0,0,0,0
2012-06-12,111.330292326,94.723471285,104.645498295,76.110098165,80.364462818,71.288791818,49.198436777,60.332187064,80.060375163,56.246550293,8.158302619,0,0,0,0
2012-06-13,81.996551144,90.474027634,107.964633633,89.155983276,77.896223270,76.055845290,45.662233796,30.199432385,75.008065186,43.684126790,5.054282857,0,0,0,0
2012-06-14,98.170222939,95.258087011,94.386736543,89.940357361,79.329904322,76.088996594,43.250734230,53.985050784,64.206578369,37.306970418,11.187587560,0,2.083190104,0,0
2012-06-15,77.595397583,96.025919751,112.036283113,85.751040243,80.837087865,75.921443927,58.130622106,41.440461564,33.655192464,38.410377808,14.548008661,0,0.148437500,0,0
2012-06-16,85.508198877,95.474535908,86.925685617,82.252287801,76.342354415,74.364719811,50.312609230,52.050825479,24.444662272,32.689064331,8.674465714,0,0.058736979,0,0
2012-06-17,96.295074818,95.935036933,130.230002538,75.467145284,68.938333962,68.490538214,36.067659144,27.895856349,39.431785889,17.080937093,8.242326905,0,0.062210286,0,0
2012-06-18,109.924642846,61.809839853,111.001200289,86.304900208,78.608666033,66.150038669,17.171426505,37.960883847,27.188801270,40.323287354,9.233528750,0,0.066842448,0,0
