title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[PSC GREENFIELD] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[NICS DARTER] XSEDE Utilization (%)","[SDSC COMET] XSEDE Utilization (%)","[TACC MAVERICK2] XSEDE Utilization (%)","[CCT LSU SUPERMIC] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[OSG] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)"
2015-12-07,12677.378333333,75.796198088,69.873142348,79.252086790,71.250584184,29.580439710,28.598607870,0,0.000000000,0
2015-12-08,16012.257083333,105.090204168,15.113580648,74.910745085,73.743433346,57.532389205,23.993865741,0,0.000000000,0
2015-12-09,15544.617500000,101.939792218,83.681401566,84.356665524,85.979877306,52.628752525,19.762467766,0,0.000000000,0
2015-12-10,17140.798333333,103.700311524,93.835500497,91.702676664,82.159529137,46.054187816,30.325671991,0,0.000000000,0
2015-12-11,24107.378750000,102.305580444,91.837937048,92.931247962,75.257720184,65.548628788,17.996939178,0,0.000000000,0
2015-12-12,25780.625000000,94.206271758,95.784864922,98.931629055,58.917285072,44.058238952,6.006156655,0,0.000000000,0
2015-12-13,23274.844166667,66.219950732,77.027941370,85.542469898,64.102182053,76.858077652,4.320537558,0,0.000000000,0
2015-12-14,15993.142916667,27.215743003,88.962961390,93.594940239,75.728833499,76.959192235,10.895598727,0,0.000000000,0
2015-12-15,19120.642916667,90.601347815,94.002797996,96.938493928,80.527524858,54.576529987,9.119875347,0,0.000000000,0
2015-12-16,20919.652500000,92.471669220,92.077456240,90.792481288,81.983374732,64.985147412,7.870486227,0,0.000000000,0
2015-12-17,25568.766666667,79.997928876,90.356849881,84.264438897,83.959518361,56.467434659,19.480533044,0,0.000000000,0
2015-12-18,26164.010416667,99.048566181,88.805874869,93.648240149,81.604032132,65.631190025,22.378385475,0,0.000000000,0
2015-12-19,32600.868750000,100.948429450,90.523353755,96.387579752,83.278325227,70.525059028,19.956603704,0,0.000000000,0
2015-12-20,29490.277916667,95.099318235,63.798185773,95.279108217,73.999084980,38.543806187,14.982381713,0,0.000000000,0
2015-12-21,31416.562083333,67.847967468,26.412935642,98.319974130,77.110898734,65.894272727,16.948585417,0,0.000000000,0
2015-12-22,27596.770833333,79.270202577,79.807765657,96.829348511,85.791446255,72.130506944,30.925112558,0,0.000000000,0
2015-12-23,30834.635000000,73.934382555,93.691082321,97.021358023,80.233224139,77.966558081,39.019415509,0,0.000000000,0
2015-12-24,23167.604166667,92.958835333,96.631725450,94.825857824,72.231052023,73.681291667,33.345913600,0,0.000000000,0
2015-12-25,27732.499583333,60.427091945,93.731735853,92.928397007,59.715081586,75.804574179,27.085899016,0,0.000000000,0
2015-12-26,25220.035416667,44.280100294,96.075461118,104.142264494,58.654068484,57.193497475,22.089011111,0,0.000000000,0
