Day,[NICS DARTER] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%)
2014-05-19,111.978450449,65.199880700,107.097168500,90.647166151,84.160809363,24.578398474,46.047119141,0,0,0,1.065769676,0
2014-05-20,140.723302867,77.432543816,109.208860000,96.368970852,91.810803247,36.046695090,37.656638896,0,0,0,0.765784433,0
2014-05-21,143.023538178,102.580785831,109.086356071,89.784804258,88.808264974,50.410847338,31.027687378,0,0,0,1.426839988,0
2014-05-22,124.646942658,100.137140894,109.871421585,91.099681329,89.760798118,56.952023333,24.116866252,0,0,0,1.834741609,0
2014-05-23,155.702709233,93.827007149,109.704244001,89.678114312,87.398165641,61.848239337,15.662285665,0,0,0,1.297497106,0
2014-05-24,147.963541631,61.468391181,110.141745675,79.017466865,86.088598682,34.011602887,1.228113200,0,0,0,1.155608218,0
2014-05-25,51.050951564,40.384404854,99.407069267,89.995243232,80.882821181,42.596269292,0,0,0,0,2.083316551,0
2014-05-26,37.217055421,46.259892389,85.536277825,87.522857408,73.872224590,41.596238211,0,0,0,0,1.730514757,0
2014-05-27,71.408264344,78.881591998,97.474387860,92.857559706,71.893058120,11.994835713,34.310230611,0,0,0,0.782356771,0
2014-05-28,102.836821622,90.851446415,101.653115770,84.251902484,76.254449771,41.092310996,76.995655212,0,0,0,1.183706597,0
2014-05-29,98.111485238,90.197074389,106.606085825,85.424825611,86.154040207,32.191285559,79.355816854,0,0,0,1.030854167,0
2014-05-30,126.529110879,79.912706680,107.669452413,88.770089622,81.581790069,37.156861915,73.612205404,0,0,0,1.228903356,0
2014-05-31,89.381311435,83.106086264,105.298153501,81.059010046,91.442848702,32.727890561,58.741889038,0,0,0,3.511805266,0
2014-06-01,61.933039753,54.314992674,102.101604501,70.667365727,79.522762291,52.118866369,41.221503194,0,0,0,2.723678819,0
2014-06-02,86.501688176,52.013879818,103.721579635,87.396320584,85.892878492,38.413193341,41.511859029,0,0,0,0.847634259,0
2014-06-03,118.969239180,91.662463142,100.004081873,90.300973538,44.034296875,31.584382310,37.205855713,0,0,0,0.234690972,0
2014-06-04,60.971608289,121.015747286,103.943027910,91.912586390,46.684203460,63.647532616,23.832071838,0,0,0,0.438565972,0
2014-06-05,115.639841700,129.996502747,87.479897352,88.857299113,89.681769847,61.455283599,55.484180705,0,0,0,1.159071181,0
2014-06-06,149.229540854,133.695065632,44.662087403,86.183886104,91.745252131,62.723214693,49.331235555,0,0,0,1.803300926,0
2014-06-07,156.701609476,119.270511946,103.658057915,89.201142800,75.808510496,37.869299064,42.540305684,0,0,0,1.678081597,0
2014-06-08,52.285563133,76.617197547,107.712484633,85.479577013,69.208723366,19.872988667,40.760357564,0,0,0,0.833318866,0
2014-06-09,116.130802903,98.476321316,107.422125962,71.332494141,84.915689019,22.925000966,62.218004252,0,0,0,0.745775463,0
2014-06-10,135.504840729,112.707811237,105.290062663,84.407447193,79.585459675,32.213388378,57.352484843,0,1.965330492,0,0.512946181,0
2014-06-11,107.519272991,107.234933323,96.975140345,71.556412711,90.828690420,42.004903640,73.050785624,0,24.852553030,0,1.394260995,0
2014-06-12,172.399270330,97.741798253,93.805982282,87.077961846,71.602698173,38.677336991,69.729912211,0,22.779934975,0,1.442734664,0
2014-06-13,156.540208801,115.599637793,95.985611709,80.788586887,68.746804076,44.035616761,62.171236877,0,21.814604167,0,1.233760127,0
2014-06-14,172.970709851,101.584414384,95.813866498,73.764254584,29.495475655,23.375145381,62.288294373,0,27.030899306,0,0.982894387,0
2014-06-15,145.214711851,53.396020379,86.382729051,52.179271362,48.225247396,31.932779764,60.877992961,0,41.710893939,0,0.830215567,0
2014-06-16,168.986757021,84.783207660,95.132458573,34.410424113,69.304578105,59.433115630,54.556576945,0,25.220538826,0,0.652421007,0
2014-06-17,100.510429472,73.891702721,94.817966573,3.473683472,56.537304490,65.762100455,64.760013529,0,34.097555240,0,0.455796875,0
2014-06-18,32.734915293,83.178978071,96.330199527,53.166895919,51.559216087,64.892245662,78.806134237,0,23.286738636,0,0.975937789,0
2014-06-19,118.685840491,80.565268994,100.505728680,83.753463388,83.815174302,90.458377426,54.138215230,0,30.237092803,0,2.547203125,0
2014-06-20,138.422150020,104.117640818,105.590181092,75.873309281,90.126551847,75.298587065,59.502622172,0,47.090681187,0,1.701622685,0
2014-06-21,149.476049292,124.708796526,101.619686155,76.014096223,75.848787484,93.287665519,73.044826965,0,67.371913826,0,1.204046007,0
2014-06-22,151.597826420,84.160886691,98.835877081,74.632144540,76.976851819,63.217529757,74.142781881,0,39.887153093,0,1.106257523,0
2014-06-23,154.648538178,102.061179832,100.990386753,78.932094523,75.650055240,88.112625794,72.175428365,0,18.475553977,0,1.226405961,0
2014-06-24,135.601992475,107.271810413,102.903189540,93.647004385,81.090032355,76.004818766,65.615144145,0,21.048874369,0,1.422379051,0
2014-06-25,91.458378007,103.396542705,106.564430762,92.251963198,86.760157927,77.328475027,75.428131816,0,15.057905303,0,1.740605903,0
2014-06-26,108.389310975,98.469182248,104.919540141,90.207794022,93.850904948,52.472796619,67.894784444,0,22.712998422,0,1.381527199,1.770815023
2014-06-27,102.434078974,114.412110523,97.995520997,87.752309792,73.748307686,59.652734835,76.876256917,0,20.933502841,0,2.140842014,0.812065837
2014-06-28,142.556812162,108.875516815,100.781985418,89.845856509,48.104762666,68.175089426,82.379209290,0,10.078633838,0,2.211692130,0.541775309
2014-06-29,18.569195046,104.379569807,93.372053850,85.426541563,48.227781132,77.273125313,69.347213236,0,10.659915088,0,1.583509549,0.282660319
2014-06-30,26.915423069,111.339641089,87.128967588,86.975317283,45.054647846,67.358698855,67.282371114,0,21.116178977,0,0.986598380,7.738715007
2014-07-01,93.573687162,107.684327291,102.360920581,87.844801685,26.144531151,0.000000000,73.740555420,0,43.827194760,0,0.453450521,0.344319661
2014-07-02,50.952290552,106.786636250,104.595034282,91.246437712,15.336183022,0.000000000,72.260470785,0,91.362759154,0,0.002061632,0.303403320
2014-07-03,102.544911912,123.909998025,105.447045164,87.481946474,63.459039023,0.000000000,68.298086751,0,49.658195707,0,0.020037616,0
2014-07-04,56.576993195,123.817431325,105.309349002,93.796223972,49.095713976,0.000000000,74.097855123,0,40.232849747,0,0,0
2014-07-05,48.012335009,119.200700128,97.193560810,74.284005032,41.051991398,0.000000000,80.148957621,0,5.535072601,0,0,0
2014-07-06,30.232309615,124.840954482,82.305722513,73.404276987,34.282683574,0.000000000,78.315465800,0,64.548050189,0,0.005059028,0.019205729
2014-07-07,90.667408351,126.008389826,91.935948232,81.811108493,53.180235657,0.000000000,81.231165059,0,43.293314078,0,0.002295428,0.082157796
2014-07-08,70.450576765,125.768658257,104.111070342,87.311302377,86.187443083,0.000000000,77.259874268,0,48.115320391,0,1.534787616,1.038944499
2014-07-09,34.673189133,127.435575351,104.690238152,91.362777493,90.739311375,0.000000000,65.209228821,0,70.632172033,0,2.647021991,0.048765055
2014-07-10,43.612358066,126.556949784,104.601937045,89.015873160,85.872044764,0.000000000,68.791436361,0,90.664089015,0,1.603828993,0.004756266
2014-07-11,29.107149768,127.036672649,105.025727552,91.630739430,87.123298808,0.000000000,38.759318441,0,48.269430556,0,0.925978877,0.186614176
2014-07-12,62.914319895,124.730276308,100.618879230,88.684487332,80.628485243,0.000000000,60.583360291,0,44.666526515,0,1.006789931,0
2014-07-13,29.551015409,124.577689020,92.761802204,60.909438260,89.835674519,0.000000000,69.048859660,0,15.522604482,0,1.030258970,0
2014-07-14,65.985462132,119.478760139,93.276013381,46.425033330,92.677525943,0.000000000,60.463844706,0,13.578019886,0,0.645635417,7.392135010
2014-07-15,38.485705031,127.277459835,105.763980982,7.782049913,87.012968060,0.000000000,44.888070679,0,1.257610480,0,0.649134259,8.284189046
2014-07-16,96.813213088,128.596963183,103.670012864,66.382345332,92.333732146,0.000000000,41.524038696,0,32.677065657,0,0.322615162,1.109854329
2014-07-17,131.594885079,124.043378321,104.966939300,66.407903343,71.285371192,0.000000000,51.052228088,0,69.675751263,0,0.346233507,9.210241699
2014-07-18,147.724885546,127.508465092,103.091846698,81.399005715,82.280447838,0.000000000,54.167575582,0,81.607041982,0,1.600699074,0.060329997
2014-07-19,91.076139467,124.092895838,102.237209745,75.336788855,92.282600221,0.000000000,14.148415019,0,85.331123422,0,2.313452546,0.010977376
2014-07-20,56.772288142,124.194980607,101.992627829,60.504253545,67.785656270,0.000000000,31.080087179,0,60.594678977,0,1.032091435,0.149884440
2014-07-21,62.681879208,126.728906078,103.832913757,88.335519970,74.203072621,0.000000000,50.406674703,0,29.043262311,0,0.391208623,4.242983398
2014-07-22,34.354886014,123.292238079,103.517280498,89.894477602,73.952200028,0.000000000,49.791010946,0,23.636240530,0,0.347931134,3.350079346
2014-07-23,23.330091254,121.706106874,103.086079592,89.758119828,31.918744673,0.000000000,6.762930501,0,32.244651515,0,0.414657986,1.412037354
2014-07-24,78.794883100,123.199244929,105.583401997,85.509556252,43.239969223,0.000000000,10.392740885,0,44.660090593,0,0.526471065,1.871066488
2014-07-25,111.493151581,120.593076281,100.277900330,87.332455964,93.831720032,0.000000000,19.636108500,0,63.352973801,0,1.174599826,0.473966878
2014-07-26,138.458237260,123.415935135,102.830305357,88.200243141,92.665500612,0.000000000,18.334147135,0,77.277023990,0,1.175868056,60.884195964
2014-07-27,10.998142409,122.710123698,83.572826493,77.414545546,80.699810507,0.000000000,19.055108032,0,66.119738952,0,1.234027778,32.996193441
2014-07-28,103.275798623,126.717550395,89.132167472,83.929646299,56.367117464,0.000000000,19.311261292,0,87.281811553,0,1.554251157,59.162941081
2014-07-29,77.666337297,128.353421241,98.979645540,88.636306193,32.536738972,0.000000000,19.690836589,0,69.150077652,0,2.309885995,33.986092936
2014-07-30,76.833183126,126.222523745,106.432207921,82.959240813,69.482467842,0.000000000,21.198413900,0,20.305923927,0,2.956539352,2.955295003
2014-07-31,148.144727102,125.124971180,102.655592811,86.427696068,38.504305161,0.000000000,20.948020426,0,22.333736742,0,2.768475116,11.118833008
