Day,[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2015-07-11,97.847655978,92.889126582,35.134074533,97.000616751,31.565832071,0,38.297372538,17.713075347,0,0.000000000,0
2015-07-12,90.351326895,93.745306668,34.968246983,75.353735756,20.130173295,0,9.864976705,14.910313773,0,0.000000000,0
2015-07-13,89.806325668,81.250283895,35.757597335,96.465360207,28.325757891,0,20.095626119,12.865615336,0,0.000000000,0
2015-07-14,94.888446127,24.802825213,55.721850343,96.176900011,37.194620896,0,33.940185547,15.097241493,0,0.000000000,0.000000000
2015-07-15,99.447582307,92.878679131,66.380642124,105.883510761,51.129576389,0,32.710589091,14.450916204,0,0.000000000,0
2015-07-16,98.074726936,89.222215427,67.044172870,98.853067070,52.006383523,0,37.777999573,6.742348322,0,0.000000000,0
2015-07-17,97.966191291,100.056640720,65.863919385,95.372269062,55.234638258,0,42.411169027,7.578922164,0,0.000000000,0
2015-07-18,93.126629832,97.052607612,51.469817553,86.874575484,37.529565657,0,26.565339254,6.563451620,0,0.000000000,0
2015-07-19,98.492197179,96.529027018,59.663349802,90.978403581,33.278987689,0,22.127739766,6.593296644,0,0.000000000,0
2015-07-20,98.208086428,97.111696013,61.748829291,87.689405586,56.983007260,0,34.103483785,23.866393171,0,0.000000000,0
2015-07-21,98.838055727,101.732242888,61.718794095,94.672769573,77.965680871,0,37.986621806,26.385824942,0,0.000000000,0
2015-07-22,95.446358591,98.843308589,42.712568807,93.035297509,85.574355429,0,16.397420451,24.386079109,0,0.000000000,0
2015-07-23,98.271735994,96.012724415,15.988630376,81.345239183,39.886784407,0,28.211656392,13.964300405,0,0.000000000,0
2015-07-24,94.321735099,101.847975541,74.413934405,85.565749393,37.277672348,0,28.333455404,15.400623900,0,0.000000000,0
2015-07-25,97.789028228,99.314401082,79.737155866,90.343055096,14.588980429,0,34.320737610,20.746392882,0,0.000000000,0.000000000
2015-07-26,100.706093981,99.949933535,64.833225487,65.582538615,43.172067866,0,26.003947144,42.108709606,0,0.000000000,0
2015-07-27,98.498283004,97.524608774,68.447225674,60.413867367,45.685676452,0,22.257188619,28.477462731,0,0.000000000,0
2015-07-28,100.469124941,97.367319720,75.077429144,64.885435111,53.667385101,0,24.866943258,18.672730093,0,0.000000000,0
2015-07-29,95.267929042,99.312521046,77.810543814,66.152595514,51.464944129,0,30.237987366,42.887490451,0,0.000000000,0
2015-07-30,99.803026484,100.398002405,76.401191386,57.514089217,30.784915720,0,21.004914449,24.744158275,0,0.000000000,0.000000000
2015-07-31,99.721985916,97.534380810,81.216920170,65.986252850,42.214260417,0,37.918859558,20.071495602,0,0.000000000,0
