title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2011-06-06,70.261651522,42.257583578,84.189599155,80.218676215,85.325629909,72.613493499,85.662574056,37.614294128,44.375122070,0.040980539,0.466010234,46.310513251,18.192455648,0,0,0.812288818,7.046324056,4.910152995,2.771337827,0.006197917
2011-06-07,91.748885795,6.823782607,78.589656882,63.547416992,85.984321137,87.296504699,81.749638129,44.716571045,18.736404826,0,23.438992004,48.073097821,17.845017090,0,0,2.126883545,6.205822754,4.923173828,2.664206310,0.010751488
2011-06-08,82.020889318,62.918775426,79.139124847,52.358061523,86.632468765,89.840579243,81.879623752,26.543891398,58.833649699,24.583539484,22.188955739,48.369857281,46.464500732,0,0,3.872971327,8.550401476,5.081744792,3.141737440,0.014754464
2011-06-09,90.701478580,154.750141289,84.801404740,74.194498698,87.137509766,85.256492504,79.211908095,32.063720805,34.598279826,23.659976765,26.765760600,48.436390328,54.623174235,0,0,6.169020589,6.816955024,5.174046224,2.194640000,0.015334821
2011-06-10,95.283884410,96.618611102,90.683590694,83.688144531,85.774620775,95.957384443,75.615939670,56.918127238,45.017537435,18.055657825,8.804416250,48.850933709,70.258173421,0,0.047019857,10.208003337,5.548586697,2.712815755,1.714235923,0.014717262
2011-06-11,94.050940547,1.275992609,91.084429575,66.932702365,83.721507697,91.112543518,78.834592828,48.225504354,39.220978800,13.738358361,12.750994619,50.254562220,51.635723470,0,3.846824544,9.440755073,6.831105143,0.660302734,1.365004464,0.014962798
2011-06-12,96.314773751,81.377392946,76.442570792,60.719418945,78.343349834,98.171029277,80.569504395,45.894666646,55.149359945,4.922569860,6.109592031,44.929465752,62.814136149,0,4.139358724,10.254683838,9.023751085,3.023437500,1.288952292,0.014843750
2011-06-13,83.532924054,72.303208541,91.457437214,81.226061198,45.713123141,109.783388218,79.520411513,60.485116475,17.514236857,24.703603340,30.410861613,40.985730858,38.922082926,0,4.843243815,10.258235948,4.633343370,7.034287109,1.287302917,0.015915179
2011-06-14,95.608354804,92.251540477,89.221815624,85.744057075,51.458729701,116.761070521,56.809437663,66.846001689,13.368417155,57.207529550,12.119909159,37.517408023,57.865668132,0,7.576153971,10.626947021,2.397193468,0.268951823,1.322076458,0.014218750
2011-06-15,97.776882757,70.246742953,83.636171650,76.261681858,78.264595759,116.658012692,34.077992622,78.996884867,35.813928223,45.771954450,2.791332143,35.209397280,69.015652669,0,7.460865072,5.005202365,3.536277669,9.335647786,1.547554167,0.011406250
2011-06-16,98.974194440,0.557773235,58.350267067,81.353721246,92.792279486,121.770881272,32.014624566,84.609139811,39.740085246,35.606299510,23.444562022,41.606090659,37.877133789,0,3.962528483,1.659387750,3.924619954,11.702252604,1.841447917,0.014717262
2011-06-17,98.676050694,67.067958497,99.001305888,90.330921766,89.504140909,133.471494077,25.376566840,90.648080139,37.159374186,35.377903802,6.131058299,40.575554953,41.082239583,0,6.537127279,4.208877224,4.362680393,4.109954427,1.862605625,0.011242560
