title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[SDSC TRESTLES] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[GATECH KEENELAND] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[GATECH KIDS] XSEDE Utilization (%)"
2013-05-07,125.952170254,105.193543048,90.405801582,26.992075775,82.361875203,86.021986269,21.743970861,36.860263450,11.127812500,4.965698242,0,2.956993899,0
2013-05-08,123.193149825,86.330471040,61.037567400,62.090309686,83.800803528,71.482823055,84.532258495,32.356979225,5.246518555,10.652510783,0,6.063817768,0
2013-05-09,128.545195841,99.598557533,63.480928705,76.991047395,75.819449259,64.342185034,49.195020535,37.955020238,8.074019775,7.174081421,0,10.376635804,0
2013-05-10,121.747337446,102.636349075,87.996392591,72.671172601,81.457429301,86.006084971,40.400892578,37.707516156,4.030534261,3.792096354,0,15.567039732,0
2013-05-11,108.039098497,80.562839375,74.298172097,59.670430019,64.677743225,71.181559541,70.437211028,36.810409784,2.756799723,5.188756510,0,9.746964911,0
2013-05-12,75.378495416,73.301644612,61.722333257,58.494633366,48.528098755,79.104293916,64.085158434,31.949885277,7.726336263,7.900964762,0,10.234132798,0
2013-05-13,86.420393277,97.531149603,91.465428540,54.634599922,76.061514181,24.026387804,49.123380254,33.918373052,40.464029541,4.874511719,0,12.758770000,0
2013-05-14,110.748463220,106.617913370,71.001373030,45.716743725,66.945714620,67.046134193,10.617089224,32.394247329,28.579852702,6.659351603,0,16.233546577,0
2013-05-15,112.202238056,100.855055485,76.435357844,63.472706825,39.465544840,75.720714173,81.317907670,36.064706630,43.744900716,4.670631510,0,16.961508333,0
2013-05-16,133.134868104,89.641899713,88.270264447,53.132587946,82.747364604,88.791171185,76.838448084,34.580054358,67.016511230,4.920898438,0,0.751440298,0
2013-05-17,111.875509868,111.265505342,88.078993222,67.082513278,80.360333557,82.241705236,71.602363485,29.931871442,45.107639160,2.277420451,0,23.158068810,0
2013-05-18,127.836616386,77.140723182,71.629652040,55.512938855,37.539153035,86.707776693,36.167232707,29.974627193,19.863155111,1.111102295,0,1.138742054,0
2013-05-19,127.182553289,51.172963786,64.788570978,40.013286032,53.998788452,80.015169074,31.670017519,30.282078667,33.674814046,0.459364217,0,3.097321131,0
2013-05-20,129.777740231,72.873568910,73.590644974,56.724339395,83.869185486,84.264296579,59.003975129,19.261818134,28.730224609,0.305921834,0,0.645019643,0
2013-05-21,126.268454907,94.608835131,82.731853395,56.346714814,85.177698466,75.571982915,80.287812649,22.401466615,36.219174398,0.448359782,0,0.436890595,0
2013-05-22,135.429959284,96.581931904,87.492195668,90.732461783,44.708121033,85.212914891,81.564079789,24.619416702,35.896826986,0.425993856,0,0.246221726,0
2013-05-23,133.054298884,104.167703903,93.381358536,66.132672774,69.472362264,85.392146169,83.358722118,20.745288121,12.583450928,0.515132446,0,0.274754464,0
2013-05-24,127.451556185,112.156337932,85.461682862,71.604931319,70.723768514,82.325261995,68.948743395,14.329489782,8.263563639,0.607444458,0,0.203940238,0
2013-05-25,124.311590034,111.346581656,75.758490004,55.444695712,68.624000346,76.692208511,60.023665369,10.898324876,10.349998779,0.300496419,0,0.119724851,0
2013-05-26,121.176735078,106.744898522,72.655703586,73.368601309,71.142442525,49.568953500,48.026462814,10.814601064,3.590911051,0,0,0.209886071,0
2013-05-27,104.547809021,86.755825021,76.871509948,57.866948141,70.226793315,33.795366951,50.782560949,12.794534749,8.279025472,0.255940755,0,0.428836310,0
2013-05-28,92.403095893,89.998228446,81.657300908,54.735410138,70.755890808,0.018720210,61.343689738,13.511575623,34.467492676,0.734722900,0,0.221005625,0
2013-05-29,77.173261305,89.304491662,94.857822568,69.351153300,70.616102498,50.633531211,67.244934946,28.123439250,6.781902262,0.855948079,0,0.395027143,0
2013-05-30,107.081772498,85.352271813,88.657516254,98.290828542,67.544474080,73.277961845,62.805564186,35.821217980,1.583731283,0.386384074,0,0.532811190,0
2013-05-31,117.730935617,104.811805330,86.996023125,70.327081126,66.391927389,57.304095447,16.158713121,37.622956094,4.567355957,0.456606445,0,0.189839018,0
2013-06-01,55.973698261,69.736108183,93.105317006,98.750373889,74.427124329,25.140208531,0,38.098964166,1.995587565,2.014227905,0,0.338618899,0
2013-06-02,47.507468895,47.812480664,93.176354421,48.679901204,39.785712789,17.560794567,8.569571438,38.745916678,0.626076253,1.412000732,0,0.221836696,0
2013-06-03,66.825082270,67.801849612,93.784927784,67.714546229,35.831904602,36.446842349,80.009950666,33.509980811,14.635263265,2.522117106,0,0.278285387,0
2013-06-04,54.506321190,85.604042053,86.459798753,53.508895363,74.481951701,72.929976819,83.330548769,37.066617908,28.553086751,2.284907430,0,2.418448452,0
2013-06-05,116.724595022,94.508326350,97.341968006,76.242462997,78.760280965,84.086467803,87.557197858,34.802033816,20.924732666,1.352349243,0,6.100475565,0
2013-06-06,119.451598095,96.151342520,98.512649577,69.696816563,80.173615621,75.213528251,81.255883305,33.857592035,36.457998454,2.600509033,0,1.394094405,0
