,[CCT LSU SUPERMIC] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[PSC BRIDGES LARGE] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job
2015-11-19,9.35156606,4.58213986,1.12512844,0.0,,,1.88278571,4.7208709,5.15655388,,0.0,2.8685731,3.1772854
2015-11-20,6.93478873,3.40084878,1.23188604,0.0,,,1.25130111,5.62886566,6.30828189,,0.0,4.52873953,3.92384253
2015-11-21,19.9045726,2.48437768,0.96064079,0.0,,,3.29151923,5.96949518,8.48309656,,0.0,5.70140825,4.33593591
2015-11-22,12.3857101,3.74984811,1.07308305,0.0,,,4.61303889,5.09902318,8.1652652,,0.0,4.67478333,4.03457284
2015-11-23,11.4915306,4.18200591,1.1571073,0.0,,,0.54201545,3.43304497,5.0771894,,0.0,3.35403607,2.95214707
2015-11-24,11.68628894,5.02365296,1.66183797,0.0,,,0.54357456,5.42235827,5.82545576,,0.0,3.08226034,4.10198196
2015-11-25,14.93219512,3.28023908,1.08602426,0.0,,,1.5555,3.40681888,8.39534492,,0.0,3.16952432,2.84581722
2015-11-26,9.47296532,5.27724647,0.86825938,0.0,,,3.73098462,5.12015295,8.0903947,,0.0,7.36195,3.18093449
2015-11-27,18.81373282,5.66657884,0.65553246,0.0,,,1.2830875,6.14926873,6.50970694,,0.0,2.0269475,2.77013634
2015-11-28,11.20500705,4.77164084,0.87925505,0.0,,,0.0398625,5.92948372,7.7159,,0.0,3.18463778,4.08314047
2015-11-29,10.91481892,4.19796203,1.14490078,0.0,,,0.01447692,7.45863688,6.55314473,,0.0,2.33551136,3.40094815
2015-11-30,3.79157878,3.55736583,1.24579142,0.0,,,1.50858636,5.43692458,5.43374231,,0.0,5.14422805,3.48259582
2015-12-01,7.41822816,3.09450393,0.89591442,0.0,,,4.08748,3.9035464,6.26949608,,0.0,4.9197254,3.20613911
2015-12-02,9.4929474,3.73485734,0.92712413,0.0,,,3.44728889,1.96197813,6.55721809,,0.0,4.15878855,3.54956703
2015-12-03,8.81402353,6.40329613,0.79668121,0.0,,,5.231775,3.09630196,6.91621341,,0.0,5.48817305,2.72115943
2015-12-04,2.65656239,3.95034638,0.90232984,0.0,,,1.570812,10.86538026,5.58699284,,0.0,5.38489735,4.101708
2015-12-05,16.723225,7.86940595,1.8027312,0.0,,,0.66775,12.3354913,8.93715582,,0.0,4.501268,4.19758776
2015-12-06,7.08318333,5.50371371,1.06249203,0.0,,,0.03851429,10.6026958,6.96265644,,0.0,6.05393667,3.11061453
2015-12-07,10.91222598,2.42591416,1.08840015,0.0,,,2.02329038,9.3242113,3.52004658,,0.0,3.69987,2.18608805
2015-12-08,4.14855921,1.98749011,0.82149451,0.0,,,1.30918061,7.30488096,6.3703729,,0.0,4.19244438,1.15503703
2015-12-09,8.55573952,2.42442825,0.72803216,0.0,,,4.36408286,6.22608468,5.56817516,,0.0,5.4650576,3.46237044
2015-12-10,5.60601424,3.03324741,1.13173838,0.0,,,1.69035435,4.68807399,5.09308412,,0.0,2.90475134,3.31685428
